position,rsr,splice,total_reads,transcript
1261,1.6611062335381916,1.0,1238,ENST00000256495.4
1310,2.2129870129870133,1.0,1022,ENST00000256495.4
1378,1.8864838864838864,1.0,1505,ENST00000256495.4
1396,0.5898650313557108,1.0,2369,ENST00000256495.4
1427,2.423553719008265,1.0,1642,ENST00000256495.4
1681,1.985357121510176,1.0,1645,ENST00000256495.4
1719,0.5645874263261297,1.0,1134,ENST00000256495.4
1799,1.7302602665773297,1.0,3568,ENST00000256495.4
1827,0.5074599954924498,1.0,1357,ENST00000256495.4
1828,1.6259498480243155,1.0,1607,ENST00000256495.4
1865,0.4116309291747888,1.0,1370,ENST00000256495.4
1945,1.80794732061762,1.0,1703,ENST00000256495.4
2117,2.416064177478459,1.0,1134,ENST00000256495.4
2152,0.2965350523771152,1.0,1718,ENST00000256495.4
2154,1.706437768240343,1.0,1174,ENST00000256495.4
2157,2.0995502248875564,1.0,1443,ENST00000256495.4
2214,1.7191954387076336,1.0,1407,ENST00000256495.4
2383,0.5783132530120482,1.0,3147,ENST00000256495.4
2384,1.0554850237281712,1.0,4274,ENST00000256495.4
2385,0.5783132530120482,1.0,3147,ENST00000256495.4
2386,1.653320772491757,1.0,1279,ENST00000256495.4
2644,1.5909463497183955,1.0,3024,ENST00000256495.4
2775,2.0033508896247656,1.0,1849,ENST00000256495.4
2778,1.7074468085106382,1.0,1003,ENST00000256495.4
432,4.778121003067977,1.0,1165,ENST00000256496.8
434,4.779576172200901,1.0,1141,ENST00000256496.8
579,1.4123403863276656,1.0,1209,ENST00000452837.7
132,2.020618556701031,1.0,1002,ENST00000397261.8
135,1.8782608695652168,1.0,1064,ENST00000397261.8
140,2.4033333333333333,1.0,1139,ENST00000397261.8
142,1.792682926829268,1.0,1350,ENST00000397261.8
166,1.4385936469187233,1.0,2676,ENST00000397261.8
167,0.7996257596394292,1.0,1966,ENST00000397261.8
170,1.6063510504405074,1.0,1600,ENST00000397261.8
179,1.5977823977823973,1.0,1631,ENST00000397261.8
212,1.5375816993464049,1.0,1602,ENST00000397261.8
214,1.4509222222222222,1.0,3072,ENST00000397261.8
245,1.7300023820100303,1.0,4520,ENST00000397261.8
281,2.113636363636364,1.0,1093,ENST00000397261.8
291,1.8620442147573928,1.0,1277,ENST00000397261.8
495,2.360387953037264,1.0,1603,ENST00000397261.8
564,0.5084967320261438,1.0,1286,ENST00000397261.8
660,22.77303370786517,1.0,1006,ENST00000397261.8
661,19.43226776240895,1.0,1714,ENST00000397261.8
662,16.312731837549382,1.0,2588,ENST00000397261.8
675,4.52290589667907,1.0,1282,ENST00000397261.8
682,4.319452380767858,1.0,1600,ENST00000397261.8
704,0.4210456352275824,1.0,1070,ENST00000397261.8
1002,7.275135297252206,1.0,2352,ENST00000397261.8
1005,7.537283518182397,1.0,2145,ENST00000397261.8
801,0.6842485654389091,1.0,1451,ENST00000489724.2
1382,2.4789519748424294,1.0,1055,ENST00000383811.8
97,1.6656103920576957,1.0,3436,ENST00000530758.2
116,1.8855367231638416,1.0,1490,ENST00000530758.2
354,1.9597701149425288,1.0,1028,ENST00000530758.2
434,10.10387613490532,1.0,13413,ENST00000530758.2
435,10.10387613490532,1.0,13413,ENST00000530758.2
473,0.5020174806157427,1.0,2004,ENST00000530758.2
725,2.4399506356873126,1.0,1573,ENST00000530758.2
585,2.18572825024438,1.0,1895,ENST00000256474.3
586,2.1295714801106373,1.0,2990,ENST00000256474.3
588,1.9932321199926832,1.0,2061,ENST00000256474.3
122,4.3882537671032384,1.0,1851,ENST00000306077.5
124,4.039590157679688,1.0,1539,ENST00000306077.5
35,3.5349505840071878,1.0,1590,ENST00000306024.4
571,0.4490968867592244,1.0,1001,ENST00000613060.4
852,0.4785668586052463,1.0,1443,ENST00000613060.4
854,0.7833799385840009,1.0,2246,ENST00000613060.4
856,1.023736780258519,1.0,1563,ENST00000613060.4
1295,0.7779075588186216,1.0,1125,ENST00000613060.4
1296,0.7779075588186216,1.0,1125,ENST00000613060.4
2292,0.31769991015274035,1.0,1138,ENST00000613060.4
2294,0.31769991015274035,1.0,1138,ENST00000613060.4
2517,1.9932523616734144,1.0,1099,ENST00000613060.4
2582,0.5937701119835243,1.0,1114,ENST00000613060.4
2916,1.8895384240652784,1.0,1016,ENST00000613060.4
3168,1.0426008968609863,1.0,1095,ENST00000613060.4
3170,1.0426008968609863,1.0,1095,ENST00000613060.4
3211,1.9503381217797924,1.0,1196,ENST00000613060.4
3287,20.02853105303653,1.0,2276,ENST00000613060.4
3288,20.327429383572465,1.0,2994,ENST00000613060.4
3289,20.02853105303653,1.0,2276,ENST00000613060.4
3292,18.12033381445676,1.0,1297,ENST00000613060.4
3299,6.742607807882622,1.0,1619,ENST00000613060.4
3615,0.8063514677301162,1.0,1967,ENST00000613060.4
3616,0.9695530328219256,1.0,1539,ENST00000613060.4
3988,3.198589614902545,1.0,1288,ENST00000613060.4
3994,1.6483175051873191,1.0,1186,ENST00000613060.4
4019,1.2770937796088702,1.0,1988,ENST00000613060.4
4021,0.9544159544159544,1.0,1521,ENST00000613060.4
4045,1.6883749239196593,1.0,1006,ENST00000613060.4
4267,4.797668170162901,1.0,4192,ENST00000613060.4
4268,4.797668170162901,1.0,4192,ENST00000613060.4
4379,1.2929702659950235,1.0,1946,ENST00000613060.4
4418,0.4597207303974221,1.0,1039,ENST00000613060.4
6104,1.100897118215148,1.0,1835,ENST00000613060.4
6140,2.2032124430061053,1.0,1770,ENST00000613060.4
6187,1.852941176470588,1.0,1843,ENST00000613060.4
855,2.367821616034253,1.0,1850,ENST00000383794.7
11,1.3138394496569406,1.0,1321,ENST00000303498.10
12,1.1497067954467055,1.0,1050,ENST00000303498.10
13,1.1497067954467055,1.0,1050,ENST00000303498.10
63,0.8746781629842525,1.0,1497,ENST00000303498.10
65,0.8896743243258529,1.0,4166,ENST00000303498.10
66,1.1578628639089217,1.0,2900,ENST00000303498.10
647,3.6834109282957535,1.0,1094,ENST00000303498.10
653,0.4537931576473484,1.0,1180,ENST00000303498.10
190,0.9813102498524494,0.0,1908,ENST00000449897.1
192,0.9813102498524494,0.0,1908,ENST00000449897.1
1260,2.519688147576132,1.0,1227,ENST00000273047.9
1961,9.728581775071511,1.0,1663,ENST00000273047.9
1962,8.503157991859924,1.0,2439,ENST00000273047.9
1963,13.469142239156232,1.0,3145,ENST00000273047.9
81,2.2470680579924283,0.0,1822,ENST00000255320.6
95,1.7660098522167489,0.0,1121,ENST00000255320.6
56,2.0283576223936044,0.0,3598,ENST00000451497.1
477,3.0129098360655737,1.0,1362,ENST00000306627.8
478,3.0129098360655737,1.0,1362,ENST00000306627.8
624,2.3431773879142304,1.0,1367,ENST00000306627.8
823,15.84512222139178,1.0,3715,ENST00000306627.8
824,16.052402804255017,1.0,4400,ENST00000306627.8
825,30.163723916532913,1.0,1653,ENST00000306627.8
827,27.09733870464587,1.0,3457,ENST00000306627.8
828,44.64255160411015,1.0,7321,ENST00000306627.8
829,24.91317267840168,1.0,7162,ENST00000306627.8
830,24.894037733273482,1.0,12113,ENST00000306627.8
831,20.50194061026377,1.0,9943,ENST00000306627.8
849,2.86054307743882,1.0,1682,ENST00000306627.8
328,1.5034465870829508,1.0,1289,ENST00000611050.4
2,1.182382964047242,1.0,3065,ENST00000307839.10
3,0.9941688955317808,1.0,1900,ENST00000307839.10
33,1.5503713228540688,1.0,1561,ENST00000456530.7
56,1.8488855622089155,1.0,1016,ENST00000413699.7
59,1.7715664901899717,1.0,1226,ENST00000413699.7
233,1.9907908209638845,1.0,1126,ENST00000456530.7
254,1.5059417561611237,1.0,5061,ENST00000456530.7
255,1.2335744673147382,1.0,8321,ENST00000456530.7
256,1.1087271710703197,1.0,1959,ENST00000456530.7
257,1.2073120516304192,1.0,5885,ENST00000456530.7
260,2.1146537842190014,1.0,1350,ENST00000456530.7
266,1.3610350534075522,1.0,1653,ENST00000456530.7
270,1.8141402124653496,1.0,3909,ENST00000456530.7
282,1.4020477047840534,1.0,9495,ENST00000456530.7
308,1.2816891310461922,1.0,33621,ENST00000456530.7
310,1.2781253781841864,1.0,27275,ENST00000456530.7
312,1.1983694740022155,1.0,8622,ENST00000456530.7
316,1.386301397969102,1.0,25604,ENST00000456530.7
1529,1.6312249900483966,1.0,5280,ENST00000465786.1
1531,0.7877081167323248,1.0,11436,ENST00000465786.1
1540,1.298084811005238,1.0,6679,ENST00000465786.1
1541,1.42083644510829,1.0,6013,ENST00000465786.1
1561,1.360861463435452,1.0,26984,ENST00000465786.1
1585,1.4357190540702525,1.0,39147,ENST00000465786.1
1639,1.428219541011779,1.0,12418,ENST00000465786.1
855,1.6083916083916083,1.0,1863,ENST00000413699.7
858,1.4394849405241057,1.0,6489,ENST00000413699.7
874,1.8499053636738816,1.0,3320,ENST00000413699.7
879,1.8753193269908384,1.0,3707,ENST00000413699.7
886,1.903963095848466,1.0,7351,ENST00000413699.7
1166,0.6790013122765737,1.0,2615,ENST00000413699.7
1187,1.5136698263390744,1.0,6318,ENST00000413699.7
1230,0.4789245982694684,1.0,1914,ENST00000413699.7
1277,1.7611987069534243,1.0,2837,ENST00000413699.7
1362,1.7607034997335231,1.0,2030,ENST00000413699.7
1661,2.383330339500629,1.0,1440,ENST00000413699.7
4983,5.873976522291003,1.0,1168,ENST00000312521.9
270,2.5867598313740916,0.0,1009,ENST00000693715.1
274,1.3993167854226962,0.0,2432,ENST00000693715.1
276,1.3993167854226962,0.0,2432,ENST00000693715.1
612,1.3194566555301566,0.0,1265,ENST00000693715.1
613,1.1373394351765698,0.0,2241,ENST00000693715.1
614,1.03972896637267,0.0,3643,ENST00000693715.1
399,0.5805008944543828,1.0,1163,ENST00000466830.6
102,3.0502708614187357,1.0,1645,ENST00000295770.4
338,2.275564842627661,1.0,1460,ENST00000295770.4
339,1.7936058744288916,1.0,1934,ENST00000295770.4
360,0.7338153801467144,1.0,3719,ENST00000295770.4
361,0.6178925660414417,1.0,1565,ENST00000295770.4
362,1.020408163265306,1.0,1498,ENST00000295770.4
234,2.85792770025272,1.0,1242,ENST00000436236.1
127,2.6625310173697283,1.0,1784,ENST00000488151.1
129,2.0386540120793795,1.0,1324,ENST00000488151.1
138,1.8322218322218324,1.0,1712,ENST00000488151.1
143,1.5180984153461219,1.0,1828,ENST00000488151.1
248,0.4778711484593838,1.0,1250,ENST00000328834.10
249,0.4778711484593838,1.0,1250,ENST00000328834.10
227,2.1298419584753643,1.0,1170,ENST00000320954.11
264,0.304222093695778,1.0,1070,ENST00000320954.11
266,0.304222093695778,1.0,1070,ENST00000320954.11
368,1.0790742526518804,1.0,1354,ENST00000320954.11
369,1.4805667499605157,1.0,2446,ENST00000320954.11
485,2.111817004647721,1.0,1466,ENST00000320954.11
508,1.4166432123088468,1.0,1465,ENST00000320954.11
537,1.8531139835487669,1.0,1366,ENST00000320954.11
539,0.6316353887399464,1.0,1922,ENST00000320954.11
540,1.6470479104220448,1.0,2531,ENST00000320954.11
546,1.4889632596041291,1.0,4240,ENST00000320954.11
730,1.3894014084507045,1.0,3077,ENST00000320954.11
733,1.5099399849962492,1.0,3174,ENST00000320954.11
770,1.4556827529476282,1.0,2613,ENST00000320954.11
773,1.1090413648231567,1.0,9974,ENST00000320954.11
774,0.6665244693195004,1.0,5803,ENST00000320954.11
818,1.3162077629082705,1.0,4141,ENST00000320954.11
860,0.7007966679194829,1.0,3555,ENST00000320954.11
997,1.1659156169900058,1.0,9688,ENST00000320954.11
998,1.014239512685255,1.0,6847,ENST00000320954.11
1147,1.8517297753401536,1.0,2321,ENST00000320954.11
1307,1.6398740715234394,1.0,1600,ENST00000320954.11
1637,0.5608012344628286,1.0,2710,ENST00000320954.11
1650,3.6388506650430488,1.0,1081,ENST00000320954.11
1744,0.9589495113249789,1.0,6727,ENST00000320954.11
1745,0.7649167775218196,1.0,2777,ENST00000320954.11
1746,1.4912590126000032,1.0,2111,ENST00000320954.11
1754,0.6061794582392777,1.0,4157,ENST00000320954.11
1755,0.6061794582392777,1.0,4157,ENST00000320954.11
1756,1.9993751421831167,1.0,4011,ENST00000320954.11
1757,2.275889644142344,1.0,2458,ENST00000320954.11
1815,1.3541285398619978,1.0,2526,ENST00000320954.11
2513,3.0646626768167264,1.0,1344,ENST00000320954.11
2737,12.12338948839389,1.0,1481,ENST00000320954.11
2752,8.025682944002684,1.0,1051,ENST00000320954.11
2755,9.757604658543585,1.0,2403,ENST00000320954.11
2756,9.757604658543588,1.0,2403,ENST00000320954.11
2770,0.2875275265216193,1.0,1433,ENST00000320954.11
2948,2.3143812709030103,1.0,1438,ENST00000320954.11
2949,2.3143812709030103,1.0,1438,ENST00000320954.11
2975,2.4807298772169166,1.0,1477,ENST00000320954.11
2979,1.6354580152671756,1.0,2288,ENST00000320954.11
2981,1.8430776612528876,1.0,5441,ENST00000320954.11
2983,2.1144644216133943,1.0,2493,ENST00000320954.11
3184,0.3965695517304301,1.0,1051,ENST00000320954.11
3186,0.3965695517304301,1.0,1051,ENST00000320954.11
3340,1.7108695879547835,1.0,1055,ENST00000320954.11
3663,0.2967004240543825,1.0,1590,ENST00000320954.11
3780,4.514588949196607,1.0,2055,ENST00000320954.11
3781,3.811133200795228,1.0,1140,ENST00000320954.11
800,2.2834467120181405,1.0,1233,ENST00000457054.6
802,2.2834467120181405,1.0,1233,ENST00000457054.6
1080,1.8671424453905543,1.0,1615,ENST00000457054.6
1258,2.547915704615813,1.0,1741,ENST00000457054.6
1282,2.5240929340705973,1.0,1670,ENST00000457054.6
2254,0.4814077025232404,1.0,1225,ENST00000457054.6
2763,1.0204592901878915,1.0,1135,ENST00000457054.6
2764,1.0204592901878915,1.0,1135,ENST00000457054.6
5630,1.9655788582714195,1.0,1520,ENST00000457054.6
5631,1.5221950622985734,1.0,2104,ENST00000457054.6
4326,2.1839601861686018,1.0,1013,ENST00000361924.7
4484,2.956745948502212,1.0,1567,ENST00000361924.7
4534,0.5273133193995819,1.0,1205,ENST00000361924.7
4781,1.989834632777402,1.0,1448,ENST00000361924.7
930,5.9577719050381575,1.0,1244,ENST00000650617.1
947,3.5610076989013923,1.0,1194,ENST00000650617.1
2,0.8726876535054705,1.0,12053,ENST00000475346.1
3,1.05370217398933,1.0,15714,ENST00000475346.1
2,0.8690110922843814,1.0,10954,ENST00000301821.11
9,0.5941686367218282,1.0,1728,ENST00000301821.11
12,0.6457216940363008,1.0,1852,ENST00000301821.11
18,0.6832630098452883,1.0,3313,ENST00000301821.11
56,1.3742134905910417,1.0,11571,ENST00000301821.11
57,1.3742134905910417,1.0,11571,ENST00000301821.11
66,1.3628236362885575,1.0,15112,ENST00000301821.11
67,1.2782942368125312,1.0,34725,ENST00000301821.11
69,1.213163543655864,1.0,19613,ENST00000301821.11
140,1.5493581427897103,1.0,11702,ENST00000301821.11
141,1.5493581427897103,1.0,11702,ENST00000301821.11
148,1.3801887580389207,1.0,5806,ENST00000301821.11
161,1.5737831936775193,1.0,19882,ENST00000301821.11
167,1.2758791987853333,1.0,26783,ENST00000301821.11
217,1.1947671606295158,1.0,45844,ENST00000301821.11
223,1.513703787454646,1.0,27340,ENST00000301821.11
224,1.3516938740436462,1.0,48260,ENST00000301821.11
230,1.4982879883170748,1.0,15568,ENST00000301821.11
503,1.6344298578112857,1.0,1961,ENST00000495394.1
518,0.2473287240729101,1.0,1081,ENST00000495394.1
525,1.672871287128713,1.0,1143,ENST00000495394.1
528,2.3324514991181657,1.0,1461,ENST00000495394.1
530,1.7120379620379618,1.0,1528,ENST00000495394.1
532,0.4451242236024845,1.0,1761,ENST00000495394.1
534,1.3981208053691276,1.0,1835,ENST00000495394.1
537,1.5590400333202503,1.0,4341,ENST00000495394.1
1461,1.8687404265347,1.0,1205,ENST00000495394.1
1462,1.9041602378859082,1.0,1389,ENST00000495394.1
1464,0.8203944112786459,1.0,1636,ENST00000495394.1
1465,0.7394594985467333,1.0,1826,ENST00000495394.1
1470,0.4534656050124005,1.0,1066,ENST00000495394.1
1472,0.4534656050124005,1.0,1066,ENST00000495394.1
1488,1.4142463284513602,1.0,3787,ENST00000495394.1
1494,0.5787416671875225,1.0,3158,ENST00000495394.1
1499,1.4084120462677017,1.0,3801,ENST00000495394.1
1502,1.3621949609814048,1.0,5226,ENST00000495394.1
1504,1.3692165800449771,1.0,11280,ENST00000495394.1
1505,1.4038356135130905,1.0,8801,ENST00000495394.1
1506,1.382025214093616,1.0,11741,ENST00000495394.1
248,2.5427916578672303,1.0,1097,ENST00000232905.4
575,0.4883740128635477,1.0,1555,ENST00000232905.4
757,1.9648161168314568,1.0,1713,ENST00000232905.4
37,1.3194247976130316,1.0,1336,ENST00000338970.10
39,1.5019870543896852,1.0,1683,ENST00000338970.10
46,1.1143566708805148,1.0,1499,ENST00000338970.10
248,1.8803611738148984,1.0,1223,ENST00000396203.7
250,1.8803611738148984,1.0,1223,ENST00000396203.7
251,1.0747126436781609,1.0,1094,ENST00000396203.7
252,1.3788815621724977,1.0,1948,ENST00000396203.7
261,1.8224043715847,1.0,1031,ENST00000396203.7
268,1.5310519645120404,1.0,1430,ENST00000396203.7
278,1.440029037092544,1.0,3011,ENST00000396203.7
284,1.4963552489917569,1.0,9347,ENST00000396203.7
285,1.4721476694246631,1.0,11054,ENST00000396203.7
286,1.3463926089242553,1.0,6604,ENST00000396203.7
287,1.3755982034270098,1.0,17975,ENST00000396203.7
289,1.4761290326675411,1.0,11802,ENST00000396203.7
306,1.1848248127148613,1.0,28797,ENST00000396203.7
307,1.308343727669636,1.0,22129,ENST00000396203.7
308,1.308343727669636,1.0,22129,ENST00000396203.7
319,1.2709891531865865,1.0,34073,ENST00000396203.7
320,1.2263838671991294,1.0,22718,ENST00000396203.7
76,0.9589372612631468,0.0,1872,ENST00000457554.1
78,0.7657078277841011,0.0,4327,ENST00000457554.1
79,0.676383358786202,0.0,4303,ENST00000457554.1
83,0.8430911767486461,0.0,1566,ENST00000457554.1
85,1.6298862372765373,0.0,3887,ENST00000457554.1
86,2.18693372802346,0.0,2977,ENST00000457554.1
88,1.6104736317151094,0.0,12411,ENST00000457554.1
90,1.3753941705661756,0.0,14957,ENST00000457554.1
91,1.2885933503836318,0.0,16583,ENST00000457554.1
93,1.3896390324895471,0.0,21212,ENST00000457554.1
94,1.4500341721257244,0.0,19235,ENST00000457554.1
96,1.4126505466158406,0.0,33217,ENST00000457554.1
98,1.4234531597849327,0.0,22275,ENST00000457554.1
103,1.247170857056482,0.0,8724,ENST00000457554.1
113,2.0590351461606082,0.0,31739,ENST00000457554.1
114,1.8988617902409064,0.0,38996,ENST00000457554.1
117,1.779010690437383,0.0,34435,ENST00000457554.1
119,1.565246836361258,0.0,68889,ENST00000457554.1
120,1.4063815422740809,0.0,94309,ENST00000457554.1
121,1.3492477425948923,0.0,95356,ENST00000457554.1
122,1.5634321710448356,0.0,68809,ENST00000457554.1
123,0.9105039766417612,0.0,38738,ENST00000457554.1
124,1.525026375297147,0.0,45836,ENST00000457554.1
125,0.8841328918362042,0.0,44244,ENST00000457554.1
126,0.935003561730586,0.0,31639,ENST00000457554.1
279,2.058894230769231,1.0,1037,ENST00000349496.11
293,1.7352579852579857,1.0,1007,ENST00000349496.11
314,3.1972713864306788,1.0,1117,ENST00000349496.11
440,1.7999507874015748,1.0,2344,ENST00000349496.11
441,1.7999507874015748,1.0,2344,ENST00000349496.11
238,2.1450292397660817,0.0,1128,ENST00000485265.2
310,2.103695029924538,0.0,1128,ENST00000485265.2
379,2.251842751842752,0.0,1016,ENST00000485265.2
397,0.5715691096901131,0.0,1090,ENST00000485265.2
2319,3.136,0.0,1090,ENST00000485265.2
2320,7.0567587529898885,0.0,2607,ENST00000485265.2
2332,2.1802782819116757,0.0,1498,ENST00000485265.2
2334,2.1197400955895755,0.0,2296,ENST00000485265.2
2337,0.8721576817647827,0.0,1741,ENST00000485265.2
2338,0.8721576817647827,0.0,1741,ENST00000485265.2
2380,1.90643585386576,0.0,1045,ENST00000485265.2
2407,2.8318464904898164,0.0,1156,ENST00000485265.2
2946,3.737549407114624,0.0,1246,ENST00000485265.2
3196,3.074688796680498,0.0,1050,ENST00000485265.2
3227,0.5284005979073244,0.0,1151,ENST00000485265.2
3228,1.9304915082667864,0.0,1134,ENST00000485265.2
3236,1.8371647509578544,0.0,1342,ENST00000485265.2
180,1.7440653286556498,1.0,1749,ENST00000471014.2
186,2.3401072059574632,1.0,2044,ENST00000471014.2
652,12.696334452079947,1.0,1052,ENST00000644501.1
1287,2.070409632247088,1.0,1355,ENST00000342649.9
1288,2.214463387940563,1.0,1829,ENST00000342649.9
1303,1.8012811387900358,1.0,1244,ENST00000342649.9
3459,3.135678887369227,1.0,2204,ENST00000438321.5
3481,3.611570247933885,1.0,1477,ENST00000438321.5
3482,3.611570247933885,1.0,1477,ENST00000438321.5
3501,1.7412046601059419,1.0,1271,ENST00000438321.5
3533,1.7270805518469068,1.0,1362,ENST00000438321.5
3541,1.0753327527563412,1.0,2646,ENST00000438321.5
3545,1.899700598802396,1.0,1204,ENST00000438321.5
3548,1.5454760062731532,1.0,1982,ENST00000438321.5
3551,4.508166969147005,1.0,2858,ENST00000438321.5
3552,4.508166969147005,1.0,2858,ENST00000438321.5
589,0.40174486306803,1.0,3523,ENST00000265564.8
857,1.7764505188358493,1.0,1343,ENST00000265564.8
863,0.4441882780216322,1.0,1014,ENST00000265564.8
2061,1.217947102445407,1.0,1327,ENST00000265562.5
2065,2.0009510533566788,1.0,1253,ENST00000265562.5
2080,2.507581711251376,1.0,1240,ENST00000265562.5
458,3.078666253416161,1.0,1340,ENST00000472718.5
466,1.4886558442649125,1.0,1132,ENST00000472718.5
484,0.4506517690875233,1.0,1236,ENST00000472718.5
485,0.4506517690875233,1.0,1236,ENST00000472718.5
509,3.5929807457957588,1.0,1073,ENST00000472718.5
510,2.346869912683143,1.0,2850,ENST00000472718.5
511,2.346869912683143,1.0,2850,ENST00000472718.5
512,2.346869912683143,1.0,2850,ENST00000472718.5
535,1.7834381096900065,1.0,1523,ENST00000472718.5
195,4.104408352668212,1.0,1161,ENST00000457607.1
207,2.1775040183957834,1.0,1611,ENST00000457607.1
209,2.2974169741697406,1.0,1106,ENST00000457607.1
231,0.4825203252032522,1.0,2205,ENST00000471082.1
232,1.3744163878965907,1.0,4983,ENST00000471082.1
234,1.991570330643196,1.0,2826,ENST00000471082.1
235,0.4927837573385518,1.0,1293,ENST00000471082.1
236,1.354663329724329,1.0,3195,ENST00000471082.1
28,2.04854104172348,1.0,1010,ENST00000470959.1
53,1.6054184549356223,1.0,1148,ENST00000470959.1
67,2.006388888888889,1.0,1147,ENST00000470959.1
70,1.7236467236467234,1.0,1210,ENST00000470959.1
119,2.2002677100494235,1.0,1862,ENST00000470959.1
120,1.9229701667454813,1.0,6797,ENST00000470959.1
121,1.8142334026568736,1.0,9346,ENST00000470959.1
122,1.8142334026568736,1.0,9346,ENST00000470959.1
123,1.6789103019739455,1.0,8487,ENST00000470959.1
856,1.8424242424242423,1.0,1002,ENST00000457607.1
1661,2.3057385003823483,1.0,1512,ENST00000457607.1
1662,2.2270300069044344,1.0,1162,ENST00000457607.1
2183,3.1915889269251987,1.0,1233,ENST00000457607.1
38,0.3398553451231239,1.0,1206,ENST00000474183.1
40,0.3398553451231239,1.0,1206,ENST00000474183.1
931,0.9908730885116666,1.0,1207,ENST00000474183.1
3336,2.2120688167883347,1.0,1572,ENST00000457607.1
126,0.6208060556464812,1.0,1336,ENST00000477624.1
128,1.142443370407514,1.0,1846,ENST00000477624.1
230,0.9745632348093616,1.0,2270,ENST00000477624.1
231,1.329859973046865,1.0,3258,ENST00000477624.1
272,2.8343695002676355,1.0,1819,ENST00000356401.9
1264,1.3585348203242549,1.0,1464,ENST00000356401.9
1266,1.2569093827520794,1.0,1025,ENST00000356401.9
2058,8.20958544368608,1.0,1667,ENST00000356401.9
1377,7.282342426854623,1.0,1230,ENST00000395474.7
1378,6.706130010752847,1.0,1443,ENST00000395474.7
2550,2.7700807271149475,1.0,1052,ENST00000395474.7
299,0.3332146671413314,1.0,1373,ENST00000326925.11
301,0.3332146671413314,1.0,1373,ENST00000326925.11
543,3.6228992256326658,1.0,1360,ENST00000326925.11
2965,1.3030078895463508,1.0,1221,ENST00000308775.7
3518,7.459301975224025,1.0,2575,ENST00000308775.7
3519,6.49891156462585,1.0,2024,ENST00000308775.7
3520,8.20068468240199,1.0,3740,ENST00000308775.7
