chromosome,position,rsr,t_read,c_read,total_reads,strand
chr3,5213890,4.862876254180602,726,482,1208,+
chr3,9839431,2.042207792207792,628,391,1019,+
chr3,9839434,1.8223365617433416,668,412,1080,+
chr3,9839439,2.406146572104019,726,422,1148,+
chr3,9839441,1.807572936064556,831,536,1367,+
chr3,9841872,1.3943479628649236,2089,1272,3361,+
chr3,9841873,1.0303838802166294,1034,583,1617,+
chr3,9841918,1.5546139359698683,1015,707,1722,+
chr3,9841920,1.4801011804384483,2095,1185,3280,+
chr3,9841951,1.735272968637646,3068,1610,4678,+
chr3,9843351,2.042809042809042,821,566,1387,+
chr3,9843361,1.8300170217761345,916,630,1546,+
chr3,9845530,1.796146550863532,691,476,1167,+
chr3,9845651,2.37163244502694,957,653,1610,+
chr3,9847916,0.5398737808376363,940,580,1520,+
chr3,9848012,23.743820224719094,586,444,1030,+
chr3,9848013,20.21596455595509,1106,650,1756,+
chr3,9848014,17.049633044298407,1511,1144,2655,+
chr3,9848027,4.636674863107048,507,790,1297,+
chr3,9848034,4.4054993999815375,646,966,1612,+
chr3,9848056,0.42104563522758237,476,594,1070,+
chr3,9848354,7.275135297252206,1306,1046,2352,+
chr3,9848357,7.537283518182396,1144,1001,2145,+
chr3,9935055,0.6842485654389091,800,651,1451,+
chr3,10157455,1.6681974168103486,1921,1545,3466,+
chr3,10157474,1.8769015659955255,906,595,1501,+
chr3,10168078,1.9460227272727275,684,351,1035,+
chr3,10168158,10.10387613490532,5733,7680,13413,+
chr3,10168159,10.10387613490532,5733,7680,13413,+
chr3,10168197,0.5020174806157427,922,1082,2004,+
chr3,10168449,2.4399506356873126,909,664,1573,+
chr3,10191523,2.0354029532111726,1345,802,2147,+
chr3,10191525,2.0354029532111726,1345,802,2147,+
chr3,11354884,0.6036382846320394,611,447,1058,+
chr3,11354886,0.6036382846320394,611,447,1058,+
chr3,14166673,4.384768052776184,1106,759,1865,+
chr3,14166675,4.022693594329253,916,635,1551,+
chr3,14173156,2.6667765063620936,626,434,1060,+
chr3,14220350,1.7102970054000983,1185,671,1856,+
chr3,14220351,2.0634058541203295,1612,957,2569,+
chr3,14220355,1.3159550561797753,731,444,1175,+
chr3,14223060,1.3950945324476238,1240,926,2166,+
chr3,14223064,1.4487769870223073,949,726,1675,+
chr3,14223097,0.7328183578517407,3675,2767,6442,+
chr3,14223112,1.059720480878875,4137,3147,7284,+
chr3,14223137,1.037040915412684,4980,3070,8050,+
chr3,14223139,1.3405545927209706,2573,1730,4303,+
chr3,14223154,2.138727562456376,3247,2300,5547,+
chr3,14239622,1.7045790251107829,1153,676,1829,+
chr3,14239638,0.9666361974405849,1394,1093,2487,+
chr3,14239639,0.9666361974405849,1394,1093,2487,+
chr3,14489137,1.1323866716383009,593,411,1004,+
chr3,14489256,0.4785668586052463,923,520,1443,+
chr3,14489258,0.7833799385840009,1426,820,2246,+
chr3,14489260,1.023736780258519,989,574,1563,+
chr3,14518777,3.5929277569989777,948,626,1574,+
chr3,14526623,0.3176999101527403,662,476,1138,+
chr3,14526625,0.3176999101527403,662,476,1138,+
chr3,14526848,1.9932523616734144,632,467,1099,+
chr3,14526913,0.5937701119835243,658,456,1114,+
chr3,14527247,1.8895384240652784,534,482,1016,+
chr3,14527499,1.0426008968609863,650,445,1095,+
chr3,14527501,1.0426008968609863,650,445,1095,+
chr3,14527542,1.9503381217797924,714,482,1196,+
chr3,14527618,20.028531053036534,1529,747,2276,+
chr3,14527619,20.32742938357247,2035,959,2994,+
chr3,14527620,20.028531053036534,1529,747,2276,+
chr3,14527623,18.120333814456757,836,461,1297,+
chr3,14527630,6.742607807882621,971,648,1619,+
chr3,14527946,0.8063514677301162,1195,772,1967,+
chr3,14527947,0.9695530328219256,971,568,1539,+
chr3,14528319,3.1985896149025455,763,525,1288,+
chr3,14528325,1.6483175051873191,647,539,1186,+
chr3,14528350,1.2770937796088702,1216,772,1988,+
chr3,14528352,0.9544159544159545,937,584,1521,+
chr3,14528376,1.688374923919659,583,423,1006,+
chr3,14528598,4.797668170162901,2182,2010,4192,+
chr3,14528599,4.797668170162901,2182,2010,4192,+
chr3,14528710,1.2929702659950235,1126,820,1946,+
chr3,14528749,0.4597207303974221,641,398,1039,+
chr3,14530435,1.100897118215148,1055,780,1835,+
chr3,14530471,2.2032124430061053,1031,739,1770,+
chr3,14530518,1.852941176470588,1106,737,1843,+
chr3,14708983,1.2720198833141703,614,460,1074,+
chr3,14708986,2.393382879977914,1075,889,1964,+
chr3,15643253,1.3187032173336029,727,596,1323,+
chr3,15643254,1.1561355311355312,605,447,1052,+
chr3,15643255,1.1561355311355312,605,447,1052,+
chr3,15643305,0.8737201365187713,913,585,1498,+
chr3,15643307,0.8892972603289719,2475,1693,4168,+
chr3,15643308,1.1573516211709314,1769,1133,2902,+
chr3,15677142,3.6829037942140763,649,450,1099,+
chr3,15677148,0.9613912738879005,972,720,1692,+
chr3,20025409,2.5196881475761317,740,487,1227,+
chr3,20026110,9.728581775071511,847,816,1663,+
chr3,20026111,8.503157991859924,1320,1119,2439,+
chr3,20026112,13.469142239156232,1739,1406,3145,+
chr3,22423482,3.6059651405677497,624,478,1102,+
chr3,22423491,1.8178819093836587,948,745,1693,+
chr3,23848752,11.246230264293706,805,758,1563,+
chr3,23848753,10.16123984858094,1017,971,1988,+
chr3,23848754,8.558363939358253,630,437,1067,+
chr3,23929164,3.023586783439491,778,627,1405,+
chr3,23929165,3.023586783439491,778,627,1405,+
chr3,23930723,2.4073895891465407,833,546,1379,+
chr3,23932171,15.845122221391781,3471,244,3715,+
chr3,23932172,16.052402804255017,4134,266,4400,+
chr3,23932173,30.163723916532906,1565,88,1653,+
chr3,23932175,27.09733870464587,3273,184,3457,+
chr3,23932176,44.64255160411016,6153,1168,7321,+
chr3,23932177,24.91317267840168,4185,2977,7162,+
chr3,23932178,24.894037733273485,7224,4889,12113,+
chr3,23932179,20.50194061026377,5174,4769,9943,+
chr3,23932197,2.86054307743882,741,941,1682,+
chr3,23958622,1.5205084965624596,665,592,1257,+
chr3,23958624,1.1188333303920623,1684,1408,3092,+
chr3,23958625,0.9175006389964808,1036,904,1940,+
chr3,23958628,0.5814058140581405,679,541,1220,+
chr3,23958633,0.7700421940928269,1970,1421,3391,+
chr3,23958634,0.7700421940928269,1970,1421,3391,+
chr3,23958638,1.3651107197516856,2132,1685,3817,+
chr3,23958645,1.4813340244944906,2518,2094,4612,+
chr3,23958647,1.5261780104712044,901,763,1664,+
chr3,23958678,1.837880291005291,516,503,1019,+
chr3,23958681,1.773980068514481,734,493,1227,+
chr3,23959435,1.830263157894737,1390,1044,2434,+
chr3,23959453,1.7180831674284271,3311,1876,5187,+
chr3,23959454,1.9195695633842833,7780,3735,11515,+
chr3,23959456,2.0847260007773025,4469,1859,6328,+
chr3,23959485,1.2778245202347365,7324,4736,12060,+
chr3,23959486,0.767726127618456,3475,2971,6446,+
chr3,23960023,1.3086898341589075,6372,3958,10330,+
chr3,23960843,1.6312249900483966,3663,1617,5280,+
chr3,23960845,0.7876771267475969,6433,5005,11438,+
chr3,23960854,1.2980848110052379,4613,2066,6679,+
chr3,23960855,1.42083644510829,3804,2209,6013,+
chr3,23960875,1.3608614634354521,16675,10309,26984,+
chr3,23960899,1.4357190540702522,23680,15467,39147,+
chr3,23960953,1.428219541011779,7914,4504,12418,+
chr3,23961114,1.6083916083916083,1149,714,1863,+
chr3,23961117,1.4394849405241055,4074,2415,6489,+
chr3,23961133,1.8499053636738816,2130,1190,3320,+
chr3,23961138,1.8753193269908384,2332,1375,3707,+
chr3,23961145,1.9039630958484661,4465,2886,7351,+
chr3,23961425,0.6790013122765737,1538,1077,2615,+
chr3,23961446,1.5136698263390744,3609,2709,6318,+
chr3,23961489,0.4789245982694684,1106,808,1914,+
chr3,23961536,1.761198706953424,1694,1143,2837,+
chr3,23961621,1.760703499733523,1165,865,2030,+
chr3,23961920,2.383330339500629,855,585,1440,+
chr3,24021860,5.873976522291003,506,662,1168,+
chr3,28361023,0.56453937884943,717,586,1303,+
chr3,31574518,3.0502708614187353,931,714,1645,+
chr3,31574754,2.3033061169856777,955,481,1436,+
chr3,31574755,1.814254740868899,1241,663,1904,+
chr3,31574776,0.74389729639751,2228,1449,3677,+
chr3,31574777,0.6279186291211544,963,586,1549,+
chr3,31574778,1.0286670283957318,909,581,1490,+
chr3,31617902,0.5707699400645458,618,481,1099,+
chr3,31617914,1.323304847705774,1072,799,1871,+
chr3,31617937,1.6838709677419357,809,557,1366,+
chr3,31621402,0.585025641025641,712,499,1211,+
chr3,31621423,0.5920593858958497,657,522,1179,+
chr3,31621470,4.131600000000001,625,499,1124,+
chr3,31656672,2.828522920203735,783,495,1278,+
chr3,31658471,1.83062435500516,616,407,1023,+
chr3,31659434,3.716740088105727,648,453,1101,+
chr3,31663722,1.0055651506428709,654,578,1232,+
chr3,31663724,1.0055651506428709,654,578,1232,+
chr3,31665229,1.919642857142857,773,479,1252,+
chr3,31666420,3.001139601139601,686,404,1090,+
chr3,31666467,2.25933908045977,924,579,1503,+
chr3,31667524,1.8483660130718955,706,509,1215,+
chr3,31670869,2.702930402930403,1098,734,1832,+
chr3,31670880,1.789992119779354,923,845,1768,+
chr3,31670885,1.5312594382361824,974,902,1876,+
chr3,31670893,1.604523621765001,1040,753,1793,+
chr3,31674428,1.2925581812694242,1365,1476,2841,+
chr3,31674437,1.841266479589136,1511,1716,3227,+
chr3,31674499,2.655574043261232,965,600,1565,+
chr3,31677481,0.4719275549805951,1055,772,1827,+
chr3,31677541,0.39752066115702483,739,549,1288,+
chr3,31677863,1.867174959871589,704,444,1148,+
chr3,31678149,2.303586278586278,1080,739,1819,+
chr3,31678848,3.107940446650124,667,495,1162,+
chr3,32726927,0.4778711484593838,852,398,1250,+
chr3,32726928,0.4778711484593838,852,398,1250,+
chr3,33155732,2.1298419584753643,710,460,1170,+
chr3,33155769,0.3042220936957779,525,545,1070,+
chr3,33155771,0.3042220936957779,525,545,1070,+
chr3,33155873,1.0790742526518804,745,609,1354,+
chr3,33155874,1.4805667499605157,1358,1088,2446,+
chr3,33155990,2.219332789083541,899,552,1451,+
chr3,33156013,1.4379556803353002,1543,1057,2600,+
chr3,33161837,1.761981312167186,922,806,1728,+
chr3,33161840,1.621001310291233,1658,1490,3148,+
chr3,33161846,1.5267782644972883,1672,1127,2799,+
chr3,33165947,1.482851520835632,1942,1430,3372,+
chr3,33165984,1.4651304230301392,1605,1056,2661,+
chr3,33165987,1.1073023120807142,6012,4108,10120,+
chr3,33165988,0.6705824849996629,3616,2281,5897,+
chr3,33174058,1.3112898677487657,2637,1700,4337,+
chr3,33184307,0.5619327996422435,1548,1160,2708,+
chr3,33184320,3.638850665043048,624,457,1081,+
chr3,33184414,0.9589495113249787,3980,2747,6727,+
chr3,33184415,0.7649167775218196,1520,1257,2777,+
chr3,33184416,1.491259012600003,1354,757,2111,+
chr3,33184424,0.6061794582392777,2386,1771,4157,+
chr3,33184425,0.6061794582392777,2386,1771,4157,+
chr3,33184426,1.9993751421831167,2385,1626,4011,+
chr3,33184427,2.2758896441423437,1422,1036,2458,+
chr3,33184485,1.3553595658073267,1426,1099,2525,+
chr3,33185183,3.064662676816726,765,579,1344,+
chr3,33185407,12.123389488393888,1108,373,1481,+
chr3,33185422,8.025682944002684,692,359,1051,+
chr3,33185425,9.757604658543586,1270,1133,2403,+
chr3,33185426,9.757604658543588,1270,1133,2403,+
chr3,33185440,0.2875275265216193,659,774,1433,+
chr3,33185618,2.3143812709030103,864,574,1438,+
chr3,33185619,2.3143812709030103,864,574,1438,+
chr3,33185645,2.4807298772169166,745,732,1477,+
chr3,33185649,1.6354580152671756,1241,1047,2288,+
chr3,33185651,1.8430776612528874,2822,2619,5441,+
chr3,33185653,2.1144644216133943,1326,1167,2493,+
chr3,33185854,0.39656955173043,651,400,1051,+
chr3,33185856,0.39656955173043,651,400,1051,+
chr3,33186010,1.7108695879547837,586,469,1055,+
chr3,33186333,0.29670042405438246,938,652,1590,+
chr3,33186450,4.514588949196607,1170,885,2055,+
chr3,33186451,3.811133200795229,638,502,1140,+
chr3,33877608,1.883627015230916,963,723,1686,+
chr3,33879723,2.5825336388253057,1137,785,1922,+
chr3,33879747,2.57220257990597,1030,740,1770,+
chr3,33896713,0.47395833333333326,769,527,1296,+
chr3,33908000,1.0204592901878915,657,478,1135,+
chr3,33908001,1.0204592901878915,657,478,1135,+
chr3,33910867,1.9655788582714195,835,685,1520,+
chr3,33910868,1.5221950622985734,1169,935,2104,+
chr3,37367423,2.1839601861686018,606,407,1013,+
chr3,37367581,2.956745948502211,902,665,1567,+
chr3,37367631,0.5273133193995819,652,553,1205,+
chr3,37367878,1.9898346327774017,854,594,1448,+
chr3,37370017,3.032245846775992,643,418,1061,+
chr3,39433462,5.880441348729319,778,478,1256,+
chr3,39433479,3.6102038976892072,748,488,1236,+
chr3,39448208,0.9942757243871553,7580,4969,12549,+
chr3,39448209,1.0384708970993148,1571,1609,3180,+
chr3,39448210,0.9368968548828945,32953,15068,48021,+
chr3,39448211,0.9422774450030058,29768,12419,42187,+
chr3,39448212,0.8841119656945481,23468,10676,34144,+
chr3,39448216,0.7580293882502137,1963,1694,3657,+
chr3,39449206,1.2448503761474299,12691,7887,20578,+
chr3,39449207,1.4838676636279833,4828,3003,7831,+
chr3,39449214,1.2537577337611727,13666,7563,21229,+
chr3,39449233,1.1918257160001675,21346,14376,35722,+
chr3,39449250,1.1709422257663866,9202,6421,15623,+
chr3,39450115,1.3288387043033882,14461,10490,24951,+
chr3,39452403,1.3893251567036604,3121,1344,4465,+
chr3,39452406,1.2303414586020807,9792,5750,15542,+
chr3,39452407,1.2842571047495872,9389,4983,14372,+
chr3,39452408,1.5162340520311233,8389,3805,12194,+
chr3,39452409,1.3792775928651655,6433,3444,9877,+
chr3,39452410,1.4026960955460581,12615,6842,19457,+
chr3,39452413,1.336463958807144,12579,7697,20276,+
chr3,39452417,1.465580069486668,18823,9889,28712,+
chr3,39452418,1.465580069486668,18823,9889,28712,+
chr3,39452421,1.4089906232763374,5501,2743,8244,+
chr3,39452424,1.210267779957471,22109,14486,36595,+
chr3,39452436,1.336368538608396,13459,7785,21244,+
chr3,39452441,1.1483622350674374,8939,4994,13933,+
chr3,39453204,1.4605743773838906,17130,8913,26043,+
chr3,39453205,1.4605743773838906,17130,8913,26043,+
chr3,39453213,1.4911834056944173,26514,16602,43116,+
chr3,39453215,1.6393957837658386,18517,10229,28746,+
chr3,39453540,1.2836692355569737,8925,8102,17027,+
chr3,39453965,3.730763855461192,650,428,1078,+
chr3,40351445,2.5503220996906792,635,467,1102,+
chr3,40353503,0.4868405351571967,944,677,1621,+
chr3,40353685,1.9648161168314568,979,734,1713,+
chr3,40498819,1.2688238467339226,826,631,1457,+
chr3,40498821,1.616504972082542,1161,850,2011,+
chr3,40498828,1.1064116086009799,1060,879,1939,+
chr3,40498835,1.928362573099415,1318,759,2077,+
chr3,40498839,1.3742893431716463,1489,1180,2669,+
chr3,40498845,1.4576564868962527,2018,1196,3214,+
chr3,40499443,1.1863454356065166,9022,6041,15063,+
chr3,40500200,1.489279239979939,8292,5391,13683,+
chr3,40500213,1.3992394529955188,19575,14657,34232,+
chr3,40502895,0.9738172426738337,639,569,1208,+
chr3,40503533,0.472652694091638,4590,4011,8601,+
chr3,40503534,0.5879318713640747,8172,6048,14220,+
chr3,40503539,0.539689967244452,5705,4366,10071,+
chr3,40503540,0.6257528470960951,10012,6722,16734,+
chr3,40503553,1.4697109839488576,20713,13483,34196,+
chr3,40503554,1.4282282608623476,24718,16395,41113,+
chr3,40503564,1.3319946752902976,12888,9127,22015,+
chr3,40503567,1.48312081015547,6608,5534,12142,+
chr3,40503568,1.3163025177665533,7642,4712,12354,+
chr3,40503631,1.2475495249887767,21812,16978,38790,+
chr3,41266068,2.103640776699029,641,514,1155,+
chr3,41266082,1.758147512864494,614,476,1090,+
chr3,41266103,3.2641921397379914,689,457,1146,+
chr3,41266229,1.7928921568627454,1329,1019,2348,+
chr3,41266230,1.7928921568627454,1329,1019,2348,+
chr3,41266456,1.7545008183306057,803,563,1366,+
chr3,41266525,1.999324552516042,591,422,1013,+
chr3,41266536,1.6683841940734847,1256,911,2167,+
chr3,41266540,2.3119136960600377,635,532,1167,+
chr3,41266619,2.291929463251384,613,456,1069,+
chr3,41266633,1.7316137566137566,688,503,1191,+
chr3,41266640,1.6555183946488294,719,551,1270,+
chr3,41266682,1.8924485125858124,826,588,1414,+
chr3,41266832,1.803001154290112,567,451,1018,+
chr3,41266833,0.496911351784998,651,553,1204,+
chr3,41267172,1.8597678916827851,640,516,1156,+
chr3,41267257,1.5592324093816632,830,669,1499,+
chr3,41267341,1.9618907809747503,902,654,1556,+
chr3,41274926,1.7620237019716214,920,606,1526,+
chr3,41275137,2.181650530198248,675,481,1156,+
chr3,41275209,2.103695029924538,702,426,1128,+
chr3,41275278,2.2555282555282554,611,406,1017,+
chr3,41275296,0.572429906542056,664,427,1091,+
chr3,41275638,2.412613981762918,634,469,1103,+
chr3,41277218,3.008194233687405,884,658,1542,+
chr3,41277219,6.962752076306817,2114,1535,3649,+
chr3,41277231,2.218281595544271,1021,841,1862,+
chr3,41277233,2.125075460321903,1619,1232,2851,+
chr3,41277237,0.4882104740630429,561,473,1034,+
chr3,41277279,1.9088902267710213,655,452,1107,+
chr3,41278084,2.903669724770642,632,435,1067,+
chr3,41278126,0.5212765957446809,734,469,1203,+
chr3,41278135,1.8117396593673964,850,547,1397,+
chr3,41279523,2.380878587963914,1377,942,2319,+
chr3,41280933,12.696334452079949,621,431,1052,+
chr3,41281506,0.47605322522701277,771,500,1271,+
chr3,41281513,0.8775506509269281,813,605,1418,+
chr3,41281515,0.845272612735291,658,523,1181,+
chr3,41281542,2.066898556249107,1057,676,1733,+
chr3,41281574,2.158426368952685,724,494,1218,+
chr3,41281626,1.9343283582089554,971,669,1640,+
chr3,41281784,1.6147071158954283,699,621,1320,+
chr3,41281840,2.9128043990573445,926,669,1595,+
chr3,44442751,2.0928688865992937,703,551,1254,+
chr3,44442766,1.7675,706,591,1297,+
chr3,44881885,3.2925084925307737,986,598,1584,+
chr3,44881907,3.59594383775351,921,640,1561,+
chr3,44881908,3.59594383775351,921,640,1561,+
chr3,44881927,1.6938601750110158,850,460,1310,+
chr3,44882576,1.7867847411444142,853,733,1586,+
chr3,44882584,1.0694415852501942,1686,1306,2992,+
chr3,44882594,3.259932375316991,856,675,1531,+
chr3,45031057,2.394099289305012,553,470,1023,+
chr3,45038598,0.5547624907703667,643,477,1120,+
chr3,45046846,0.4026484229321118,2226,1566,3792,+
chr3,45052778,1.7939730666554745,851,640,1491,+
chr3,45052780,1.0133957845433257,600,426,1026,+
chr3,45052784,0.4444469755255861,643,451,1094,+
chr3,47451180,1.1900129928500895,943,485,1428,+
chr3,47451184,1.9853217276094999,800,532,1332,+
chr3,47451199,2.499646592177987,734,553,1287,+
chr3,47846903,0.516558612230594,736,438,1174,+
chr3,47857464,1.9721235795454541,765,511,1276,+
chr3,47857482,1.193798732825979,915,438,1353,+
chr3,47857508,2.5207816463635604,1923,1236,3159,+
chr3,47857509,2.5207816463635604,1923,1236,3159,+
chr3,47857510,2.5207816463635604,1923,1236,3159,+
chr3,47857533,1.8633312355779321,934,680,1614,+
chr3,47866712,4.278409090909091,752,439,1191,+
chr3,47866724,2.1971729412586436,872,776,1648,+
chr3,47866726,2.28705035971223,577,555,1132,+
chr3,47866729,1.3534347570963443,633,568,1201,+
chr3,47868846,0.4917135709818635,1479,1247,2726,+
chr3,47868847,0.4917135709818635,1479,1247,2726,+
chr3,47868851,1.121466012289665,1480,1259,2739,+
chr3,47868890,2.0229056749453096,654,408,1062,+
chr3,47868915,1.6150265957446808,693,469,1162,+
chr3,47868929,2.022478070175439,713,455,1168,+
chr3,47868932,1.7378048780487805,740,491,1231,+
chr3,47868959,1.9798910766652704,972,538,1510,+
chr3,47868962,0.6631063512971765,1493,918,2411,+
chr3,47870529,1.6847784958154195,4731,3608,8339,+
chr3,47870530,1.6847784958154195,4731,3608,8339,+
chr3,47870531,1.6506561232539347,5691,4194,9885,+
chr3,47883198,1.840399002493765,614,400,1014,+
chr3,47884604,3.072795854393748,526,476,1002,+
chr3,47888127,2.3057385003823483,901,611,1512,+
chr3,47888128,2.2270300069044344,674,488,1162,+
chr3,47889304,0.3328192700301094,823,533,1356,+
chr3,47889306,0.3328192700301094,823,533,1356,+
chr3,47890454,1.0291365016001384,823,454,1277,+
chr3,47891168,2.0826608825498982,675,582,1257,+
chr3,48481818,1.6064448469825532,673,616,1289,+
chr3,48481819,0.6796962529565542,1343,1107,2450,+
chr3,48481821,1.0040473890097446,1811,1487,3298,+
chr3,48481841,1.477110158518797,2240,1710,3950,+
chr3,48481842,1.3865403647674257,1400,1285,2685,+
chr3,48482005,0.6156058189551012,1018,725,1743,+
chr3,48964945,2.9848735947245304,1179,806,1985,+
chr3,49011162,0.38277826110201163,614,431,1045,+
chr3,49011240,0.5600075690529591,1331,853,2184,+
chr3,49012253,1.9888729931648383,735,465,1200,+
chr3,49012295,3.1408045977011496,1092,695,1787,+
chr3,49012397,4.061988636363636,1458,799,2257,+
chr3,49020961,8.20958544368608,956,711,1667,+
chr3,49049974,7.282342426854622,584,646,1230,+
chr3,49049975,6.706130010752847,692,751,1443,+
chr3,49051147,2.7700807271149475,616,436,1052,+
chr3,49060139,0.32647066606684483,948,712,1660,+
chr3,49060141,0.32647066606684483,948,712,1660,+
chr3,49060150,0.4188536636573588,664,432,1096,+
chr3,49060569,3.644600141724606,775,634,1409,+
chr3,49570626,1.303007889546351,754,467,1221,+
chr3,49571179,7.459301975224025,1609,966,2575,+
chr3,49571180,6.49891156462585,1290,734,2024,+
chr3,49571181,8.20068468240199,2265,1475,3740,+
chr3,49571211,3.0523284831231488,969,819,1788,+
chr3,49571917,0.982406575060999,917,598,1515,+
chr3,49571919,1.2885760987400203,1070,708,1778,+
chr3,49572300,68.44280683696644,868,1104,1972,+
chr3,49713386,0.443027027027027,682,374,1056,+
chr3,49713826,1.7628600823045266,595,431,1026,+
chr3,49713846,0.5603141603141604,757,480,1237,+
chr3,49720299,1.2560697094474607,705,466,1171,+
chr3,49720348,2.3373842592592595,576,479,1055,+
chr3,49720349,2.891150442477876,593,451,1044,+
chr3,49720350,2.3373842592592595,576,479,1055,+
chr3,49720351,2.891150442477876,593,451,1044,+
chr3,49720539,1.5210606489838852,1035,722,1757,+
chr3,49720699,1.5896031977731249,1293,1062,2355,+
chr3,49720700,1.2020789091315525,955,777,1732,+
chr3,49720733,2.0344497607655505,1062,626,1688,+
chr3,49720734,2.0344497607655505,1062,626,1688,+
chr3,50156039,1.642102961724884,845,619,1464,+
chr3,50156041,2.547330376873765,961,602,1563,+
chr3,50156062,3.1597791236195225,656,400,1056,+
chr3,50156063,3.1597791236195225,656,400,1056,+
chr3,50273825,1.2411587246980993,660,424,1084,+
chr3,50273848,1.979004771127589,1379,730,2109,+
chr3,50273849,2.0525620320070472,1397,694,2091,+
chr3,50273851,1.9061827346850166,1736,944,2680,+
chr3,50273867,2.5352005635360295,1513,918,2431,+
chr3,50289889,1.2250846808565983,640,480,1120,+
chr3,50289892,1.5523268559138124,1752,1273,3025,+
chr3,50289893,2.118110708184733,1284,1093,2377,+
chr3,50289895,2.2981178525121866,1946,1533,3479,+
chr3,50289896,2.31427901887232,1594,1266,2860,+
chr3,50289902,1.671652128392578,1196,907,2103,+
